"ID_estacao";"ano_ini";"ano_fim";"tbs_max";"tbs_996";"tbuc_996";"tbs_99";"tbuc_99";"tbs_98";"tbuc_98";"tbs_min";"tbu_max";"tbu_996";"tbsc_996";"tbu_99";"tbsc_99";"tbu_98";"tbsc_98"
"A823";2010;2021;33,4;28,9;19,8;27,8;19,8;26,8;19,4;-4,8;24,2;21,9;26,3;21,3;25,6;20,8;25,3
"A822";2010;2021;36,7;33,5;23,3;32,3;21,9;31,4;22,8;-1,2;29,2;25,9;31,3;24,6;30,2;23,9;29,6
"A821";2010;2021;39,2;35;21,8;33,7;21,8;32,7;21,8;-2;26;24,6;30,9;24,2;30,6;23,8;30,2
"A820";2010;2021;40,1;36,4;21,4;35,3;21,6;34,2;21,6;-2,4;26,9;25,4;31,4;24,9;31,4;24,4;30,4
"A819";2010;2021;35,3;31,4;19,8;30,3;19,8;29,2;19,9;-4,2;23,7;22,1;28,2;21,6;27,5;21,2;26,9
"A818";2010;2021;36,5;32,5;20,5;31,5;20,6;30,5;20,5;-2,3;24,8;23;29,4;22,5;28,6;22,1;28,1
"A817";2010;2021;40,5;35;25,9;33,4;25;32,2;24,7;1,6;29,6;26,6;33,4;25,9;32;25,3;30,9
"A816";2010;2021;32,6;29,9;19,7;28,9;20;28,1;19,7;-2,7;24,7;22,3;27,4;21,8;26,6;21,4;26,3
"A815";2010;2021;29,9;26,7;18,1;25,5;17,6;24,6;17;-5,8;21;19,6;24,3;19,2;23,8;18,7;23
"A814";2010;2021;42,1;35,7;25,4;34,1;24,1;32,5;24;-1;30,9;26,5;32,6;25,6;31,8;24,8;30,4
"A813";2010;2021;40,6;35,6;23,7;33,9;23,5;32,5;22,5;-1,2;28,3;25,6;33,1;24,9;31,5;24,2;29,8
"A812";2010;2021;37,5;32,7;21,3;31,2;21,3;30;21,4;-1;26,7;24,3;30,2;23,6;28,9;22,9;27,6
"A811";2010;2021;38,4;32,3;21,4;30,8;21;29,4;20,9;-1,6;26,3;24;29,6;23,2;27,8;22,5;26,7
"A810";2010;2021;39,9;35,7;21;34,5;21,9;33,5;21,9;-4,4;26,8;25,1;31,4;24,6;31,1;24,1;30,3
"A809";2010;2021;41;36,4;22,8;35,1;22,8;33,8;22,6;-3,3;28,6;26,1;32,3;25,4;31,4;24,7;30,7
"A808";2010;2021;41,2;30,3;24,8;29,2;24,4;28,2;23,8;-0,2;30,1;25,7;29,4;25;28,5;24,3;27,4
"A807";2010;2021;35,5;31,7;19,6;30,6;19,9;29,6;19,6;-0,8;24,8;21,8;27,5;21,3;27,1;20,9;26,9
"A806";2010;2021;39,7;32,5;25,2;31,4;24,4;30,4;24,2;2,7;28,4;25,9;31,1;25,3;30,3;24,8;29,7
"A805";2010;2021;37,5;34;21,5;32,8;21,4;31,7;21,6;-2,4;26,5;24,2;30,8;23,4;30,3;22,7;29,3
"A804";2010;2021;39,4;33,9;21,5;32,3;21,5;30,8;21,5;-3,8;33,5;24,2;31,4;23,3;29,4;22,5;28,2
"A803";2010;2021;40,4;35,8;24,4;34,1;24,7;32,8;24,2;-1,8;29,5;26,2;32,9;25,5;32,1;24,9;31,4
"A802";2010;2021;39,6;32,2;23,9;30,6;23,3;29,3;22,8;-0,5;29,1;25,1;30;24,4;29;23,8;28,1
"A801";2010;2021;40,6;35,7;24,9;34,1;24,2;32,6;23,4;1,1;29;25,9;33,6;25,3;32,3;24,6;30,5
"A771";2018;2021;38;33,6;21,1;32,5;21,1;31,3;21,7;3,6;25,8;23,8;30,6;23,3;29,3;22,8;28,5
"A770";2019;2021;40,5;37,4;20,3;36;19,6;34,7;20,3;0,6;25,5;24;30,6;23,6;29,6;23,3;29,2
"A769";2017;2021;39,9;34,7;22,3;33,6;22,6;32,5;22;3,6;25,9;24,1;31,6;23,7;30,9;23,2;30,3
"A768";2017;2021;42,6;37,8;23,5;36,6;22,9;35,5;23,7;3,8;31,7;27,7;33,4;26,5;33,3;25,6;31,4
"A767";2017;2021;40;34,7;26,1;33,6;26,4;32,6;25,2;13,3;32;27,3;33,5;26,7;32,8;26,3;31,2
